epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.40334,1.65477,0.18017,0.71857,2.07169,1.683,0.67863,0.79415,0.80227,0.5691,0.73526,0.85456,0.87302,0.83405,1.04452,0.15076,0.70497,2.04634,1.14307,0.00024,0.00024,0.00024
2,12.4538,1.08663,0.10807,0.49061,0.72777,1.16694,0.93019,0.9111,0.96658,0.66916,0.94762,0.92783,0.98264,0.97907,1.10095,0.10942,0.4351,0.79047,1.15806,0.00049505,0.00049505,0.00049505
3,15.4979,1.10343,0.06813,0.36354,0.70505,1.15503,0.89712,0.96581,0.97338,0.71348,0.90473,0.97401,0.97875,0.97765,0.99099,0.05686,0.19988,1.29852,1.13233,0.000744952,0.000744952,0.000744952
4,18.4721,1.12385,0.05388,0.27332,0.73331,1.17237,0.64837,0.56736,0.62721,0.30494,0.70044,0.66667,0.73506,0.73122,1.87057,0.08113,0.29255,1.58258,1.7748,0.000989706,0.000989706,0.000989706
5,21.346,1.1061,0.04537,0.24992,0.74298,1.17135,0.48538,0.49176,0.48508,0.16285,0.7046,0.65812,0.70465,0.69092,2.65071,0.10221,0.20798,2.49261,2.15535,0.00122931,0.00122931,0.00122931
6,24.2089,1.07272,0.04522,0.27099,0.68906,1.1443,0.9643,0.97436,0.98719,0.67363,0.96631,0.98067,0.99186,0.98783,1.1146,0.02623,0.02426,0.81224,1.21964,0.00146377,0.00146377,0.00146377
7,27.1491,1.04405,0.03901,0.27289,0.70991,1.15347,0.81629,0.71795,0.87326,0.57266,0.74206,0.83761,0.90013,0.89319,1.22034,0.05889,0.0065,0.95846,1.37417,0.00169308,0.00169308,0.00169308
8,30.0614,1.08074,0.03857,0.2615,0.7156,1.16147,0.70513,0.77669,0.79697,0.54166,0.78237,0.82962,0.88351,0.86233,1.20829,0.05595,0.00433,1.5058,1.47822,0.0018614,0.0018614,0.0018614
9,32.9512,1.04675,0.03596,0.25386,0.72076,1.15378,0.69179,0.58974,0.69202,0.43515,0.71939,0.83761,0.85325,0.81486,1.31643,0.08358,0.27299,1.39794,1.31658,0.0018416,0.0018416,0.0018416
10,35.9426,1.0611,0.0406,0.27955,0.72555,1.16198,0.38377,0.75214,0.54233,0.27877,0.70886,0.70755,0.76317,0.73135,1.67214,0.12729,0.49012,1.68817,1.57933,0.0018218,0.0018218,0.0018218
