epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,38.9734,1.12108,0.03413,0.22242,0.71283,1.17571,0.41765,0.66667,0.46159,0.15988,0.70629,0.69882,0.78529,0.74216,2.01151,0.12674,0.40355,2.19261,2.10856,0.001802,0.001802,0.001802
12,42.0251,1.07532,0.03279,0.20705,0.71985,1.15109,0.58936,0.70085,0.58585,0.23735,0.71058,0.75214,0.83158,0.81507,1.57615,0.07234,0.00381,2.02883,1.63575,0.0017822,0.0017822,0.0017822
13,44.9249,1.05268,0.03266,0.20247,0.67367,1.13578,0.81989,0.94017,0.91247,0.6653,0.843,0.96581,0.91897,0.91751,0.91366,0.04299,0.03936,0.61197,1.0492,0.0017624,0.0017624,0.0017624
14,47.8967,1.04672,0.03247,0.23322,0.66577,1.14042,0.98222,0.94459,0.98022,0.73078,0.96869,0.94872,0.98582,0.98311,0.92418,0.02038,0.00635,0.55079,1.05419,0.0017426,0.0017426,0.0017426
15,50.8009,1.03245,0.03163,0.25722,0.65459,1.11639,0.89987,0.98291,0.98461,0.68003,0.89987,0.98291,0.98511,0.98511,1.07692,0.02418,0.00056,0.7081,1.12256,0.0017228,0.0017228,0.0017228
16,53.701,1.01927,0.03083,0.18457,0.65954,1.12047,0.92973,0.92308,0.97885,0.71,0.92973,0.92308,0.97885,0.97885,1.01517,0.03344,0.01509,0.76245,1.10717,0.001703,0.001703,0.001703
17,56.574,1.00048,0.0252,0.1623,0.63937,1.09766,0.94777,0.93048,0.98474,0.74015,0.94777,0.93048,0.98496,0.98485,0.9319,0.01572,0.00881,0.6045,1.1033,0.0016832,0.0016832,0.0016832
18,59.6306,0.96202,0.02441,0.19507,0.61995,1.10371,0.93938,0.94017,0.98114,0.74752,0.94749,0.94017,0.98394,0.9839,0.88536,0.01603,0.02785,0.54015,1.05227,0.0016634,0.0016634,0.0016634
19,62.6327,0.97555,0.02253,0.1891,0.61461,1.10538,0.92181,0.78632,0.91947,0.64369,0.85438,0.9528,0.97146,0.96867,1.01727,0.03687,0.01603,0.66541,1.17552,0.0016436,0.0016436,0.0016436
20,65.5265,0.99817,0.0224,0.19496,0.62342,1.11642,0.95674,0.94524,0.99072,0.72373,0.96581,0.96583,0.99333,0.99304,0.96929,0.01949,0.00055,0.62037,1.13096,0.0016238,0.0016238,0.0016238
21,68.3993,0.99288,0.02259,0.21876,0.59493,1.11207,0.89245,0.92205,0.94739,0.62486,0.8874,0.94303,0.96978,0.96853,0.99346,0.03051,0.0051,0.67044,1.12798,0.001604,0.001604,0.001604
22,71.3541,0.96919,0.02193,0.17314,0.60239,1.09312,0.89822,0.88034,0.94327,0.61138,0.9233,0.92599,0.97758,0.97703,1.13345,0.03508,0.00591,0.78777,1.20403,0.0015842,0.0015842,0.0015842
23,74.3331,0.93868,0.02617,0.18413,0.59308,1.08708,0.93387,0.96566,0.98041,0.70942,0.95862,0.9899,0.9899,0.9899,1.02611,0.01822,0.00569,0.5359,1.15061,0.0015644,0.0015644,0.0015644
24,77.3454,0.97412,0.02618,0.18589,0.62032,1.11037,0.74461,0.76923,0.80277,0.50736,0.83162,0.84615,0.92085,0.91697,1.27102,0.04147,0.19918,1.0164,1.23215,0.0015446,0.0015446,0.0015446
25,80.2928,0.9237,0.02083,0.17276,0.56985,1.0737,0.9729,0.99145,0.99432,0.78964,0.9729,0.99145,0.99432,0.99432,0.81873,0.00927,0.01243,0.47572,1.02938,0.0015248,0.0015248,0.0015248
26,83.2128,0.91293,0.02329,0.1889,0.55499,1.07363,0.93768,0.95726,0.97713,0.71451,0.94186,0.96924,0.98594,0.985,0.94041,0.01889,0.03262,0.59408,1.07737,0.001505,0.001505,0.001505
27,86.1068,0.92449,0.02257,0.17362,0.57088,1.07724,0.89538,0.94872,0.97513,0.73045,0.91151,0.96581,0.98387,0.98387,0.93308,0.0123,0.00708,0.60576,1.08096,0.0014852,0.0014852,0.0014852
28,89.0041,0.87883,0.02147,0.18876,0.5522,1.04872,0.94107,0.9555,0.97964,0.74564,0.9576,0.96518,0.99156,0.99014,0.94224,0.03244,0.00237,0.57742,1.08042,0.0014654,0.0014654,0.0014654
29,92.0277,0.89658,0.01952,0.16119,0.55514,1.07333,0.91724,0.95726,0.98074,0.75828,0.93389,0.97436,0.98882,0.98617,0.8444,0.01658,0.00123,0.51727,1.02426,0.0014456,0.0014456,0.0014456
30,94.913,0.8691,0.01693,0.15462,0.55413,1.05506,0.94866,0.98291,0.98908,0.77175,0.94866,0.98291,0.98961,0.98932,0.81665,0.01064,0.00187,0.47564,1.01277,0.0014258,0.0014258,0.0014258
31,97.861,0.8556,0.0172,0.17636,0.5413,1.05345,0.97483,0.99324,0.9938,0.78885,0.97483,0.99324,0.9938,0.9938,0.75871,0.00933,0.00176,0.43413,1.0202,0.001406,0.001406,0.001406
32,100.741,0.87939,0.0192,0.17839,0.53875,1.06862,0.98114,0.99145,0.9914,0.79456,0.98114,0.99145,0.9914,0.9914,0.80418,0.00597,0.00434,0.4298,1.002,0.0013862,0.0013862,0.0013862
33,103.729,0.86985,0.0189,0.17344,0.53244,1.04991,0.99139,0.98422,0.99491,0.79856,0.99139,0.98422,0.99491,0.99491,0.79508,0.01393,0.00504,0.41892,1.00792,0.0013664,0.0013664,0.0013664
34,106.605,0.8425,0.02158,0.19151,0.50504,1.05103,0.98053,0.99145,0.99457,0.78658,0.98053,0.99145,0.99457,0.99457,0.81995,0.01241,0.00146,0.4304,1.03412,0.0013466,0.0013466,0.0013466
35,109.607,0.88882,0.02156,0.19518,0.53801,1.05776,0.97991,0.94017,0.98791,0.76549,0.97253,0.96581,0.99127,0.99047,0.82172,0.01445,0.00199,0.50456,1.02018,0.0013268,0.0013268,0.0013268
36,112.515,0.85463,0.01879,0.18594,0.51609,1.04195,0.97316,0.99145,0.99327,0.80615,0.97316,0.99145,0.99327,0.99327,0.73131,0.01398,0.00091,0.40001,0.97811,0.001307,0.001307,0.001307
37,115.431,0.88549,0.02063,0.19775,0.51984,1.05306,0.92693,0.97579,0.98638,0.738,0.93347,0.99145,0.99102,0.99082,0.87384,0.01973,0.00085,0.47512,1.08841,0.0012872,0.0012872,0.0012872
38,118.318,0.82015,0.01505,0.16456,0.49517,1.03121,1,0.99125,0.995,0.79645,1,0.99125,0.995,0.995,0.75795,0.0202,0.00902,0.40508,0.9931,0.0012674,0.0012674,0.0012674
39,121.273,0.8299,0.01566,0.18114,0.51085,1.03861,0.99134,0.97818,0.99426,0.78378,0.99137,0.98229,0.99466,0.99442,0.8606,0.00966,0.003,0.43019,1.01241,0.0012476,0.0012476,0.0012476
40,124.166,0.86249,0.0171,0.16237,0.51893,1.04588,0.95425,0.98291,0.99296,0.79585,0.95631,0.98291,0.994,0.99348,0.7929,0.00758,0.00174,0.41859,0.99314,0.0012278,0.0012278,0.0012278
41,127.133,0.84436,0.01652,0.17914,0.52068,1.04672,0.98293,0.98404,0.99466,0.80711,0.98293,0.98404,0.99466,0.99466,0.76813,0.00645,0.0066,0.40526,1.00717,0.001208,0.001208,0.001208
42,130.018,0.7969,0.0147,0.14523,0.48416,1.02664,0.98756,0.97436,0.99012,0.80283,0.98756,0.97436,0.9922,0.99106,0.75842,0.01336,0.00712,0.41461,1.00507,0.0011882,0.0011882,0.0011882
43,132.964,0.81862,0.01613,0.17611,0.49663,1.03354,0.97092,0.98291,0.98989,0.79055,0.97936,0.99145,0.99345,0.99096,0.78001,0.0189,0.00232,0.42469,1.02736,0.0011684,0.0011684,0.0011684
44,135.835,0.79646,0.01584,0.16208,0.4811,1.01816,0.99501,1,0.995,0.82664,0.99501,1,0.995,0.995,0.74991,0.00703,0.00253,0.37044,0.97825,0.0011486,0.0011486,0.0011486
45,138.801,0.78639,0.01495,0.15953,0.48533,1.01664,0.99855,0.99145,0.995,0.83472,0.99855,0.99145,0.995,0.995,0.71526,0.00826,0.00657,0.38517,0.97808,0.0011288,0.0011288,0.0011288
46,141.724,0.78543,0.01381,0.16987,0.48076,1.00899,0.95475,0.90181,0.9762,0.76612,0.95475,0.90181,0.9799,0.97807,0.81293,0.01053,0.00844,0.50887,1.03153,0.001109,0.001109,0.001109
47,144.673,0.81616,0.01713,0.19612,0.47724,1.014,0.96574,0.96369,0.99209,0.81279,0.96574,0.96369,0.99209,0.99209,0.74351,0.01732,0.03814,0.45983,1.0037,0.0010892,0.0010892,0.0010892
48,147.565,0.76847,0.01444,0.14752,0.46443,1.00384,0.991,0.99145,0.99457,0.80841,0.991,0.99145,0.99457,0.99457,0.79972,0.00894,0.0443,0.39286,1.00302,0.0010694,0.0010694,0.0010694
49,150.545,0.77777,0.01443,0.13211,0.46327,1.0014,0.99144,0.99032,0.99491,0.80785,0.98318,0.99911,0.99491,0.99491,0.77529,0.01143,0.00861,0.38863,1.01526,0.0010496,0.0010496,0.0010496
50,153.443,0.78465,0.01484,0.1504,0.47968,1.01533,0.97345,1,0.99431,0.82779,0.97345,1,0.99431,0.99431,0.72342,0.00955,0.00197,0.36508,0.97425,0.0010298,0.0010298,0.0010298
51,156.52,0.76466,0.01408,0.14347,0.48347,1.00455,0.96669,0.99145,0.99423,0.82948,0.96669,0.99145,0.99423,0.99423,0.71364,0.0078,0.00097,0.37509,0.97067,0.00101,0.00101,0.00101
52,159.492,0.78558,0.01232,0.18851,0.46948,1.0146,0.97463,0.98497,0.99302,0.79703,0.98309,0.99352,0.995,0.995,0.74885,0.01162,0.00102,0.404,0.99995,0.0009902,0.0009902,0.0009902
53,162.35,0.75163,0.01337,0.14183,0.46578,1.00889,0.99014,1,0.995,0.82452,0.99014,1,0.995,0.995,0.71514,0.01108,0.00158,0.35416,0.97498,0.0009704,0.0009704,0.0009704
54,165.295,0.74756,0.01437,0.16268,0.46384,1.0017,0.99006,0.98291,0.99425,0.84268,0.99006,0.98291,0.99449,0.99449,0.69097,0.00826,0.0037,0.35298,0.9695,0.0009506,0.0009506,0.0009506
55,168.203,0.72429,0.01325,0.16903,0.43487,0.99431,0.98492,0.99145,0.99483,0.8472,0.98492,0.99145,0.99483,0.99483,0.66512,0.00664,0.0013,0.34739,0.94886,0.0009308,0.0009308,0.0009308
56,171.201,0.74457,0.0119,0.1537,0.45517,0.99885,0.98136,0.96581,0.99383,0.80382,0.96526,1,0.99432,0.99432,0.74741,0.00588,0.00126,0.36781,0.9846,0.000911,0.000911,0.000911
57,174.094,0.75104,0.0116,0.12842,0.46867,0.99708,0.98284,1,0.99449,0.82901,0.98284,1,0.99449,0.99449,0.67832,0.00731,0.00103,0.32858,0.96176,0.0008912,0.0008912,0.0008912
58,177.049,0.72057,0.01111,0.1415,0.44096,0.99015,0.98603,0.99145,0.99474,0.84125,0.98603,0.99145,0.99474,0.99474,0.65142,0.00664,0.00243,0.34452,0.94984,0.0008714,0.0008714,0.0008714
59,179.986,0.72487,0.01288,0.13682,0.44035,0.99172,0.99152,0.99968,0.995,0.83486,0.99152,0.99968,0.995,0.995,0.6996,0.00709,0.0038,0.33886,0.95395,0.0008516,0.0008516,0.0008516
60,182.919,0.71805,0.01006,0.12635,0.43117,0.989,0.98203,1,0.99491,0.83595,0.98203,1,0.99491,0.99491,0.67528,0.00643,0.00372,0.33113,0.96967,0.0008318,0.0008318,0.0008318
61,185.79,0.72434,0.01072,0.13308,0.441,0.99255,1,0.99644,0.995,0.84774,1,0.99644,0.995,0.995,0.65544,0.00638,0.00242,0.35062,0.96116,0.000812,0.000812,0.000812
62,188.823,0.6984,0.01224,0.15472,0.42163,0.98861,0.97163,1,0.99415,0.84376,0.98803,0.98291,0.99441,0.99441,0.64706,0.00731,0.00167,0.35107,0.94481,0.0007922,0.0007922,0.0007922
63,191.701,0.69997,0.01299,0.1392,0.43206,0.98026,0.97968,0.98291,0.99466,0.8567,0.97968,0.98291,0.99466,0.99466,0.62548,0.00766,0.00072,0.33147,0.93183,0.0007724,0.0007724,0.0007724
64,194.719,0.69509,0.01119,0.14892,0.4295,0.97165,0.97381,1,0.99354,0.84557,0.97381,1,0.99354,0.99354,0.65346,0.00558,0.00081,0.34375,0.9396,0.0007526,0.0007526,0.0007526
65,197.628,0.72334,0.01126,0.14459,0.4348,0.98446,0.98318,0.99905,0.99491,0.84435,0.98318,0.99905,0.99491,0.99491,0.65411,0.00951,0.00116,0.3426,0.94607,0.0007328,0.0007328,0.0007328
66,200.636,0.65905,0.01174,0.13723,0.40389,0.96294,0.99053,0.99145,0.995,0.83569,0.99053,0.99145,0.995,0.995,0.67414,0.01282,0.00241,0.34615,0.95558,0.000713,0.000713,0.000713
67,203.515,0.6845,0.01138,0.12265,0.41724,0.97043,0.99684,1,0.995,0.8616,0.99684,1,0.995,0.995,0.58644,0.00398,0.00137,0.31464,0.92422,0.0006932,0.0006932,0.0006932
68,206.425,0.68997,0.01108,0.12033,0.42347,0.97964,0.98805,0.99145,0.99466,0.84822,0.99913,0.99145,0.995,0.995,0.6303,0.00557,0.00266,0.32264,0.94542,0.0006734,0.0006734,0.0006734
69,209.28,0.68411,0.01345,0.12398,0.42354,0.96715,0.99123,0.99145,0.995,0.83874,0.99123,0.99145,0.995,0.995,0.65465,0.00763,0.00138,0.33265,0.94862,0.0006536,0.0006536,0.0006536
70,212.242,0.67142,0.0104,0.13802,0.41133,0.97142,0.99908,1,0.995,0.87485,0.99908,1,0.995,0.995,0.57323,0.00442,0.00161,0.29962,0.90882,0.0006338,0.0006338,0.0006338
71,215.126,0.66102,0.01262,0.15857,0.40894,0.96436,1,0.99059,0.995,0.85791,1,0.99059,0.995,0.995,0.61445,0.00525,0.00103,0.30296,0.93539,0.000614,0.000614,0.000614
72,218.014,0.64128,0.01118,0.13893,0.38731,0.9632,0.99815,1,0.995,0.85874,0.99815,1,0.995,0.995,0.64842,0.00709,0.00087,0.3117,0.95729,0.0005942,0.0005942,0.0005942
73,220.86,0.63648,0.01096,0.1645,0.40464,0.96833,0.99521,1,0.995,0.8623,0.99521,1,0.995,0.995,0.62208,0.00775,0.00131,0.30358,0.93525,0.0005744,0.0005744,0.0005744
74,223.797,0.65662,0.01048,0.11506,0.40789,0.96988,1,0.9992,0.995,0.86574,1,0.9992,0.995,0.995,0.58873,0.00453,0.00213,0.30108,0.93934,0.0005546,0.0005546,0.0005546
75,226.711,0.6377,0.00952,0.12694,0.39566,0.97386,1,0.99688,0.995,0.86353,1,0.99688,0.995,0.995,0.58678,0.0058,0.00191,0.30909,0.93371,0.0005348,0.0005348,0.0005348
76,229.683,0.6208,0.01125,0.13141,0.38805,0.9584,1,0.99932,0.995,0.86373,1,0.99932,0.995,0.995,0.57691,0.0067,0.00185,0.30196,0.93423,0.000515,0.000515,0.000515
77,232.582,0.64462,0.00964,0.14045,0.39442,0.9627,0.99152,0.99926,0.99492,0.85057,0.99152,0.99926,0.99492,0.99492,0.6281,0.0084,0.0022,0.31604,0.9324,0.0004952,0.0004952,0.0004952
78,235.518,0.62911,0.01044,0.14263,0.38217,0.95082,1,0.98909,0.995,0.85755,1,0.98909,0.995,0.995,0.60975,0.00571,0.00566,0.30371,0.91748,0.0004754,0.0004754,0.0004754
79,238.384,0.60027,0.01126,0.11882,0.37759,0.94088,0.99961,1,0.995,0.87533,0.99961,1,0.995,0.995,0.56927,0.00646,0.00663,0.29295,0.91817,0.0004556,0.0004556,0.0004556
80,241.368,0.61844,0.00972,0.12009,0.38714,0.95505,0.99874,1,0.995,0.87897,0.99874,1,0.995,0.995,0.55888,0.00658,0.00359,0.27696,0.92077,0.0004358,0.0004358,0.0004358
81,244.247,0.61081,0.01086,0.146,0.37037,0.94759,0.99886,1,0.995,0.87901,0.99886,1,0.995,0.995,0.56893,0.0072,0.00217,0.29309,0.93227,0.000416,0.000416,0.000416
82,247.309,0.57022,0.01097,0.15591,0.36982,0.93726,1,0.99805,0.995,0.88553,1,0.99805,0.995,0.995,0.54486,0.00738,0.00361,0.29275,0.92681,0.0003962,0.0003962,0.0003962
83,250.18,0.59938,0.01,0.1152,0.36086,0.9452,0.99889,0.99145,0.995,0.87774,0.99889,0.99145,0.995,0.995,0.57286,0.00671,0.00338,0.28302,0.92834,0.0003764,0.0003764,0.0003764
84,253.124,0.58083,0.00913,0.11377,0.35653,0.93524,0.99021,1,0.99492,0.87378,0.99281,1,0.995,0.995,0.5768,0.00721,0.00099,0.27638,0.92377,0.0003566,0.0003566,0.0003566
85,255.981,0.59124,0.00871,0.10381,0.36152,0.93733,1,0.99916,0.995,0.87461,1,0.99916,0.995,0.995,0.55279,0.00692,0.00075,0.27244,0.91912,0.0003368,0.0003368,0.0003368
86,258.932,0.60877,0.00905,0.10213,0.37304,0.94111,0.99895,1,0.995,0.87225,0.99895,1,0.995,0.995,0.57449,0.00518,0.00099,0.2809,0.92631,0.000317,0.000317,0.000317
87,261.817,0.58142,0.01018,0.11944,0.37252,0.94856,0.99884,1,0.995,0.88137,0.99884,1,0.995,0.995,0.53824,0.00454,0.00103,0.26127,0.91909,0.0002972,0.0002972,0.0002972
88,264.75,0.56588,0.00835,0.14146,0.34133,0.93266,0.99934,1,0.995,0.87234,0.99934,1,0.995,0.995,0.59411,0.00591,0.00086,0.28155,0.93392,0.0002774,0.0002774,0.0002774
89,267.629,0.5607,0.00855,0.13274,0.35588,0.94344,1,0.99973,0.995,0.89257,1,0.99973,0.995,0.995,0.53866,0.00556,0.00093,0.26696,0.92271,0.0002576,0.0002576,0.0002576
90,270.518,0.57331,0.00905,0.1184,0.35717,0.92982,0.99864,0.99145,0.995,0.88072,0.99864,0.99145,0.995,0.995,0.53652,0.00457,0.00104,0.26739,0.91639,0.0002378,0.0002378,0.0002378
91,274.16,0.49396,0.00655,0.01795,0.30388,0.87901,1,0.99868,0.995,0.87437,1,0.99868,0.995,0.995,0.56314,0.00405,0.00104,0.27642,0.92181,0.000218,0.000218,0.000218
92,277.147,0.46041,0.00439,0.01007,0.27154,0.86418,0.99824,1,0.995,0.87534,0.99824,1,0.995,0.995,0.53079,0.00535,0.00102,0.26755,0.91444,0.0001982,0.0001982,0.0001982
93,279.995,0.44974,0.004,0.00381,0.26472,0.85437,0.99747,1,0.995,0.88393,0.99747,1,0.995,0.995,0.51835,0.00504,0.00103,0.26789,0.90993,0.0001784,0.0001784,0.0001784
94,282.918,0.43449,0.00388,0.0061,0.25678,0.84664,0.99806,1,0.995,0.87054,0.99806,1,0.995,0.995,0.56125,0.00488,0.00171,0.27431,0.9285,0.0001586,0.0001586,0.0001586
95,285.752,0.42674,0.00358,0.00314,0.25148,0.8451,0.99046,1,0.995,0.88671,0.99046,1,0.995,0.995,0.51869,0.0051,0.00182,0.25993,0.91441,0.0001388,0.0001388,0.0001388
96,288.667,0.41655,0.00371,0.00202,0.24578,0.83517,0.99028,1,0.99475,0.88437,0.99028,1,0.995,0.995,0.54725,0.00527,0.0015,0.26473,0.918,0.000119,0.000119,0.000119
97,291.527,0.41652,0.00365,0.00329,0.24218,0.85125,0.99005,1,0.99475,0.88853,0.99005,1,0.99492,0.99492,0.52562,0.00512,0.00141,0.26103,0.91618,9.92e-05,9.92e-05,9.92e-05
98,294.408,0.4178,0.00342,0.00489,0.2445,0.85062,0.99009,1,0.99475,0.8858,0.99009,1,0.99492,0.99492,0.5447,0.00529,0.00148,0.26609,0.92263,7.94e-05,7.94e-05,7.94e-05
99,297.237,0.41294,0.00359,0.00507,0.24246,0.84678,0.99031,1,0.99475,0.88618,0.99031,1,0.99492,0.99492,0.52572,0.00526,0.00135,0.26194,0.91917,5.96e-05,5.96e-05,5.96e-05
100,300.169,0.40168,0.00347,0.00566,0.23958,0.84491,0.99033,1,0.99483,0.88497,0.99033,1,0.99492,0.99492,0.51582,0.00519,0.00132,0.25805,0.91679,3.98e-05,3.98e-05,3.98e-05
