t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1770940545.980518,0.003276,-0.413286,0.027894,0.113853,-0.000627,-0.002619,-0.003101
1770940545.985510,0.008268,-0.371829,-0.026392,0.100933,-0.000180,-0.002479,-0.002527
1770940545.990487,0.013245,0.732061,-0.030131,0.263351,0.001673,0.001616,0.009759
1770940545.995470,0.018228,-0.433369,-0.119828,0.065554,0.000132,-0.002990,-0.002926
1770940546.000438,0.023196,0.682187,0.005358,0.306901,0.001122,0.001276,0.009150
1770940546.005439,0.028196,-0.397618,-0.082563,0.089498,0.000280,-0.002206,-0.002704
1770940546.010393,0.033151,-0.405794,-0.137892,0.047842,0.000720,-0.002454,-0.002915
1770940546.015375,0.038133,-0.391928,-0.072554,0.068608,0.000124,-0.002220,-0.002769
1770940546.020355,0.043112,0.716206,-0.011619,0.264155,0.001533,0.001548,0.009899
1770940546.025323,0.048080,-0.332636,-0.027860,0.124918,-0.000113,-0.001871,-0.002250
1770940546.030296,0.053054,-0.378495,0.065901,0.159648,-0.001306,-0.002251,-0.002773
1770940546.035262,0.058020,0.714089,0.102369,0.323322,0.000580,0.002117,0.009814
1770940546.040268,0.063025,0.684958,-0.081501,0.297102,0.001930,0.000904,0.009590
1770940546.045219,0.067976,-0.402650,-0.054807,0.111232,-0.000280,-0.002781,-0.003029
1770940546.050212,0.072969,-0.354150,-0.077013,0.071671,0.000097,-0.002196,-0.002435
1770940546.055531,0.078288,-0.440926,-0.178446,0.014069,0.000855,-0.002917,-0.002970
1770940546.060173,0.082930,-0.403564,-0.234486,0.000680,0.001557,-0.003314,-0.002675
1770940546.065137,0.087895,-0.442204,-0.118986,0.081220,0.000396,-0.002927,-0.002987
1770940546.070111,0.092868,-0.418007,-0.115992,0.085253,0.000600,-0.002944,-0.003155
1770940546.075090,0.097847,0.692598,-0.109843,0.248284,0.002080,0.001249,0.009877
1770940546.080070,0.102827,-0.377723,-0.039001,0.103393,-0.000141,-0.001979,-0.002633
1770940546.085042,0.107800,0.710692,-0.098252,0.302622,0.001991,0.000770,0.009745
1770940546.090020,0.112778,0.752580,-0.046444,0.201475,0.002104,0.001251,0.009658
1770940546.094994,0.117751,0.693210,-0.083778,0.279590,0.001464,0.000805,0.009466
1770940546.099985,0.122742,-0.399200,0.034936,0.109177,-0.000764,-0.001751,-0.002970
1770940546.104953,0.127711,-0.378266,-0.043400,0.109438,-0.000123,-0.002347,-0.002597
1770940546.109932,0.132690,-0.428345,0.027926,0.130037,-0.000656,-0.002457,-0.003416
1770940546.114906,0.137663,-0.439283,-0.028405,0.088394,-0.000262,-0.002321,-0.003038
1770940546.119886,0.142644,0.696199,-0.126900,0.245764,0.002335,0.001422,0.009438
1770940546.124861,0.147618,0.700709,-0.094434,0.298520,0.001779,0.000682,0.009261
1770940546.129842,0.152600,-0.381112,-0.065066,0.100170,-0.000014,-0.002462,-0.002548
1770940546.134856,0.157613,-0.421624,-0.036217,0.083615,-0.000203,-0.002480,-0.003278
1770940546.139793,0.162550,0.705258,-0.090248,0.247265,0.001858,0.001046,0.009482
1770940546.144773,0.167531,0.703150,-0.011383,0.245554,0.001704,0.001535,0.009424
1770940546.149749,0.172507,0.704899,-0.159889,0.223096,0.002524,0.000562,0.009197
1770940546.154724,0.177481,-0.402341,-0.015850,0.127357,-0.000481,-0.002831,-0.002481
1770940546.159702,0.182460,0.695083,-0.147171,0.217463,0.002162,0.001288,0.009531
1770940546.164676,0.187433,-0.399986,-0.001616,0.097905,-0.000539,-0.001773,-0.002438
1770940546.169654,0.192412,0.713479,-0.103866,0.233714,0.002274,0.001268,0.009482
1770940546.175250,0.198007,0.743428,-0.044738,0.217499,0.001532,0.001342,0.009311
1770940546.179609,0.202367,-0.399881,-0.018827,0.096894,-0.000200,-0.002597,-0.003068
1770940546.185188,0.207946,-0.390155,0.079806,0.229691,-0.000797,-0.002317,-0.002746
1770940546.189549,0.212307,-0.467469,-0.189309,-0.009593,0.002136,-0.001827,-0.003252
1770940546.194547,0.217304,1.154462,0.519984,-3.790102,0.003414,0.012975,0.008110
1770940546.199845,0.222603,1.227057,0.927594,-3.199271,-0.008797,0.004564,0.008367
1770940546.204477,0.227234,1.170968,1.002184,-3.213945,-0.008933,0.004633,0.007715
1770940546.209484,0.232241,0.988897,-0.792963,-0.452693,0.011121,-0.001087,0.013301
1770940546.214785,0.237542,-0.437982,-0.046616,0.100919,-0.000204,-0.002738,-0.002850
1770940546.219433,0.242191,0.746673,0.027019,0.276367,0.001220,0.001709,0.010087
1770940546.224739,0.247496,0.709849,-0.119354,0.202724,0.002026,0.000668,0.009135
1770940546.229379,0.252137,-0.428982,-0.088555,0.085003,-0.000026,-0.003273,-0.003035
1770940546.234358,0.257116,0.696370,-0.090076,0.262523,0.002288,0.000996,0.009283
1770940546.239330,0.262088,0.699383,-0.047297,0.251345,0.001473,0.000927,0.008944
1770940546.244653,0.267411,0.701555,-0.101057,0.232483,0.001861,0.001300,0.009588
1770940546.249273,0.272031,0.709146,-0.001642,0.240810,0.001370,0.001351,0.009777
1770940546.254248,0.277006,-0.416638,-0.069830,0.076987,-0.000041,-0.002314,-0.002579
1770940546.259229,0.281986,-0.374853,-0.070643,0.095773,0.000133,-0.001635,-0.002188
1770940546.264209,0.286966,-0.408749,-0.016787,0.122286,-0.000563,-0.002129,-0.002712
1770940546.269189,0.291947,-0.383028,-0.024096,0.118370,-0.000251,-0.002179,-0.002458
1770940546.274171,0.296929,0.738596,-0.086846,0.256710,0.002148,0.001591,0.009830
1770940546.279148,0.301905,0.696053,-0.114224,0.245418,0.001985,0.000981,0.009720
1770940546.284132,0.306890,-0.400922,-0.100948,0.087926,0.000341,-0.002635,-0.002577
1770940546.289099,0.311857,0.716502,-0.042724,0.268547,0.001537,0.001453,0.009048
1770940546.294074,0.316831,-0.362144,0.119753,0.194593,-0.001378,-0.001923,-0.002658
1770940546.299054,0.321811,-0.333975,-0.053141,0.132429,-0.000177,-0.002413,-0.002460
1770940546.304030,0.326788,-0.393569,-0.115335,0.074378,0.000365,-0.002421,-0.002848
1770940546.309009,0.331767,-0.350084,-0.064922,0.123044,-0.000075,-0.002337,-0.002476
1770940546.313980,0.336737,-0.373155,-0.114047,0.090907,0.000209,-0.002497,-0.002551
1770940546.318959,0.341717,-0.383868,-0.000415,0.141236,-0.000280,-0.002349,-0.002833
1770940546.323933,0.346691,-0.392605,-0.045592,0.104577,-0.000060,-0.002342,-0.002820
1770940546.328915,0.351672,-0.359992,-0.016113,0.128361,-0.000236,-0.002476,-0.003017
1770940546.333893,0.356651,-0.390126,0.103591,0.190720,-0.001586,-0.002404,-0.003180
1770940546.338865,0.361623,-0.372226,-0.005919,0.124468,-0.000354,-0.002641,-0.002843
1770940546.343840,0.366598,-0.355202,-0.045178,0.124613,0.000099,-0.001937,-0.002284
1770940546.348822,0.371579,-0.374599,-0.037422,0.129605,0.000069,-0.001947,-0.002452
1770940546.353812,0.376569,-0.411220,-0.008707,0.121039,-0.000392,-0.002354,-0.003045
1770940546.358799,0.381557,-0.342154,-0.106975,0.070693,0.000431,-0.002474,-0.002424
1770940546.363754,0.386512,0.705135,-0.079036,0.282269,0.001713,0.000940,0.009061
1770940546.368722,0.391480,0.720906,-0.162699,0.259188,0.002834,0.001088,0.009362
1770940546.373701,0.396459,-0.379678,-0.067046,0.092470,0.000233,-0.002038,-0.002600
1770940546.378680,0.401438,-0.384392,0.072447,0.175554,-0.001471,-0.002555,-0.002828
1770940546.383689,0.406447,0.691558,-0.014593,0.255814,0.001127,0.001010,0.009040
1770940546.389264,0.412021,-0.430290,-0.096515,0.047636,0.000234,-0.002569,-0.003412
1770940546.393617,0.416375,-0.414215,-0.049499,0.098804,-0.000166,-0.002700,-0.003110
1770940546.399197,0.421955,0.713105,-0.095569,0.259973,0.002073,0.001248,0.009545
1770940546.403577,0.426335,-0.411152,0.029109,0.128210,-0.000623,-0.002368,-0.003059
1770940546.408573,0.431331,0.680687,-0.064291,0.237635,0.001531,0.001002,0.009238
1770940546.414122,0.436879,-0.353219,0.073060,0.137264,-0.001280,-0.001935,-0.002486
1770940546.418536,0.441294,0.738321,-0.034574,0.252577,0.001492,0.001311,0.009724
1770940546.424069,0.446827,0.725040,-0.147516,0.240167,0.002705,0.001268,0.009669
1770940546.428438,0.451195,-0.349956,0.020445,0.129763,-0.000147,-0.001709,-0.002621
1770940546.433436,0.456193,0.692645,0.128787,0.295893,0.000014,0.001702,0.009556
1770940546.438407,0.461164,0.701447,0.035544,0.307319,0.000975,0.001269,0.009221
1770940546.443393,0.466151,0.686195,-0.144172,0.261647,0.002588,0.000902,0.009650
1770940546.448360,0.471117,-0.418291,0.047059,0.152454,-0.000956,-0.002235,-0.003180
1770940546.453343,0.476101,0.713363,0.024148,0.277244,0.001041,0.001905,0.009752
1770940546.458313,0.481071,0.715765,-0.026042,0.264883,0.001540,0.001267,0.009255
1770940546.463324,0.486081,0.698914,-0.042730,0.248755,0.001526,0.001043,0.009089
1770940546.468607,0.491365,-0.423672,-0.021848,0.088066,-0.000420,-0.002664,-0.003167
1770940546.473244,0.496001,0.749135,-0.027515,0.182677,0.001644,0.001749,0.009900
1770940546.478218,0.500976,0.675192,-0.049352,0.280557,0.001335,0.000834,0.009238
1770940546.483195,0.505953,0.708799,0.028424,0.295460,0.000870,0.001226,0.009088
1770940546.488181,0.510938,0.698320,-0.050828,0.274607,0.001608,0.001236,0.009644
1770940546.493141,0.515898,-0.399715,-0.042027,0.139040,0.000011,-0.002317,-0.002900
1770940546.498123,0.520880,-0.343721,0.458324,-0.233005,-0.014321,-0.004848,-0.005448
1770940546.503104,0.525861,-0.391851,-0.102484,0.066319,0.000074,-0.002815,-0.002922
1770940546.508078,0.530835,0.719413,-0.049945,0.227892,0.001929,0.001493,0.010134
1770940546.513052,0.535809,-0.373558,-0.015665,0.111634,-0.000299,-0.002386,-0.002788
1770940546.518031,0.540789,-0.455106,0.016754,0.104564,-0.000720,-0.002183,-0.003460
1770940546.523006,0.545764,-0.397163,0.004286,0.102293,-0.000703,-0.002020,-0.002703
1770940546.527984,0.550741,-0.427112,-0.086129,0.059253,0.000442,-0.002419,-0.002939
1770940546.532969,0.555726,-0.370689,-0.014188,0.117973,-0.000500,-0.002439,-0.002421
1770940546.537932,0.560690,-0.388683,-0.041705,0.088397,-0.000007,-0.002222,-0.002853
1770940546.542911,0.565668,0.734153,-0.022487,0.214234,0.001873,0.001613,0.009992
1770940546.547891,0.570649,0.704774,0.027948,0.281806,0.000712,0.001118,0.009198
1770940546.552864,0.575621,0.712683,-0.111890,0.221400,0.002209,0.001461,0.009359
1770940546.557845,0.580603,-0.376558,0.014437,0.091748,-0.000626,-0.001874,-0.002789
1770940546.562845,0.585602,0.696716,-0.034188,0.296747,0.001407,0.001024,0.009438
1770940546.567808,0.590565,0.709068,-0.065051,0.256114,0.001739,0.001286,0.009456
1770940546.572900,0.595657,-0.410149,-0.014150,0.105798,-0.000261,-0.002154,-0.003020
1770940546.577781,0.600538,0.699967,-0.110076,0.214182,0.001968,0.001194,0.009233
1770940546.582755,0.605513,0.746647,0.147606,0.254278,0.000119,0.002376,0.010210
1770940546.587726,0.610484,-0.396963,-0.014848,0.085439,-0.000512,-0.002227,-0.003062
1770940546.592693,0.615451,0.750497,0.076751,0.236066,0.000530,0.001945,0.009600
1770940546.597669,0.620426,-0.401953,-0.069878,0.074978,0.000162,-0.001677,-0.002713
1770940546.602627,0.625384,0.739239,0.167543,0.273625,-0.000202,0.002533,0.010239
1770940546.607659,0.630416,0.699561,-0.042509,0.248190,0.001535,0.001315,0.009246
1770940546.612598,0.635356,-0.390701,-0.122193,0.043054,0.000421,-0.002781,-0.002956
1770940546.617573,0.640331,0.712444,0.019510,0.302550,0.001203,0.001650,0.009509
1770940546.622550,0.645308,-0.370243,-0.003036,0.114004,-0.000607,-0.002464,-0.002663
1770940546.627519,0.650276,-0.385416,0.056314,0.154092,-0.000944,-0.002767,-0.002861
1770940546.632484,0.655242,-0.421786,-0.104713,0.060814,0.000471,-0.002581,-0.003086
1770940546.637480,0.660238,-0.422345,0.051525,0.120616,-0.001379,-0.002583,-0.003522
1770940546.642446,0.665203,0.733140,-0.045948,0.240133,0.001767,0.001398,0.010063
1770940546.647426,0.670183,0.707413,-0.069081,0.251991,0.001548,0.000962,0.009268
1770940546.652426,0.675183,-0.404714,-0.006725,0.104234,-0.000271,-0.001896,-0.002826
1770940546.657377,0.680135,0.726838,-0.174967,0.224576,0.002802,0.001049,0.009800
1770940546.662352,0.685110,0.698853,-0.130849,0.235352,0.002205,0.000304,0.009069
1770940546.667327,0.690084,0.692330,-0.101315,0.232721,0.002100,0.000637,0.009093
1770940546.672304,0.695062,-0.425400,-0.051369,0.059889,-0.000005,-0.001929,-0.002843
1770940546.677279,0.700037,-0.435087,-0.042785,0.072557,-0.000143,-0.002442,-0.003157
1770940546.682257,0.705015,0.711408,-0.044639,0.259363,0.001648,0.001370,0.009544
1770940546.687237,0.709994,0.694807,-0.201182,0.198483,0.002571,0.000203,0.009286
1770940546.692218,0.714976,0.699365,-0.059976,0.226844,0.001546,0.001030,0.008835
