t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1770947948.974238,0.003397,0.008067,-0.029889,0.117547,-0.000318,0.000057,0.000315
1770947948.979215,0.008373,-0.290893,-0.071056,0.522477,0.006931,-0.006770,0.000640
1770947948.984212,0.013371,0.001226,0.007132,0.126227,-0.000801,-0.000074,0.000375
1770947948.989176,0.018334,0.010200,-0.033014,0.127365,-0.000425,-0.000371,0.000646
1770947948.994149,0.023308,-0.018350,-0.045767,0.073802,-0.000485,-0.000743,0.000269
1770947948.999126,0.028284,-0.031132,-0.128555,0.066163,0.000067,-0.000873,0.000068
1770947949.004108,0.033266,0.023833,-0.027326,0.115430,-0.000477,-0.000045,0.000672
1770947949.009090,0.038249,0.000211,-0.105182,0.091178,0.000476,-0.000248,0.000825
1770947949.014063,0.043221,-0.006528,-0.000053,0.134337,-0.000490,0.000005,0.000421
1770947949.019039,0.048198,-0.030398,-0.201786,0.048542,0.000997,-0.001055,0.000533
1770947949.024025,0.053184,0.008846,-0.076170,0.108115,0.000155,-0.000121,0.000397
1770947949.028982,0.058140,0.013478,-0.109326,0.103583,0.000299,-0.000177,0.000694
1770947949.033953,0.063112,0.011189,-0.013027,0.140579,-0.000717,-0.000161,0.000540
1770947949.038965,0.068124,-0.003837,-0.065263,0.123578,-0.000180,-0.000419,0.000541
1770947949.043933,0.073091,0.039697,-0.079422,0.124187,0.000067,0.000181,0.001052
1770947949.048913,0.078072,-0.026664,-0.114846,0.091734,0.000590,-0.000617,0.000415
1770947949.053899,0.083057,0.037046,-0.029200,0.123854,-0.000511,-0.000093,0.000840
1770947949.058875,0.088034,0.039154,-0.111615,0.084154,0.000388,-0.000114,0.000751
1770947949.063846,0.093004,0.037228,-0.086626,0.113639,0.000229,0.000040,0.000808
1770947949.068826,0.097985,0.024929,0.015707,0.152846,-0.001020,-0.000056,0.000637
1770947949.073804,0.102962,0.059821,-0.091261,0.107358,0.000016,-0.000137,0.001151
1770947949.078782,0.107941,0.040714,-0.020480,0.142294,-0.000355,0.000208,0.000806
1770947949.083763,0.112922,0.016865,-0.093383,0.081115,0.000188,-0.000429,0.000215
1770947949.088740,0.117898,-0.002383,-0.069737,0.090824,0.000163,-0.000146,0.000479
1770947949.093729,0.122887,-0.038787,-0.078657,0.165534,0.000316,-0.000358,0.000466
1770947949.098696,0.127854,-0.277980,0.638628,0.291256,0.001551,0.002723,-0.005497
1770947949.103968,0.133126,-0.001692,-0.072089,0.068111,0.000099,-0.000212,0.000435
1770947949.108665,0.137823,-0.026690,-0.091469,0.070153,-0.000156,-0.000845,0.000187
1770947949.113639,0.142797,0.003711,-0.034886,0.109342,-0.000609,-0.000404,0.000308
1770947949.118890,0.148048,-0.008567,-0.091803,0.069386,0.000196,-0.000452,0.000301
1770947949.123592,0.152750,0.001910,-0.107043,0.116983,0.000333,-0.000279,0.000782
1770947949.128569,0.157727,0.026715,-0.076162,0.120337,0.000098,-0.000286,0.000805
1770947949.133826,0.162984,0.010522,-0.019584,0.128347,-0.000607,-0.000124,0.000380
1770947949.138537,0.167695,0.018894,-0.048855,0.131940,0.000066,-0.000008,0.000549
1770947949.143508,0.172667,0.010912,-0.067698,0.125245,-0.000428,-0.000494,0.000517
1770947949.148762,0.177920,0.029287,-0.171322,0.084439,0.000801,-0.000457,0.001062
1770947949.153468,0.182626,-0.002474,-0.076083,0.106863,-0.000168,-0.000463,0.000391
1770947949.158717,0.187876,0.006730,-0.091769,0.126225,0.000034,-0.000566,0.000544
1770947949.163424,0.192582,-0.001850,0.002304,0.140378,-0.000518,0.000244,0.000529
1770947949.168417,0.197575,-0.005001,-0.003535,0.116777,-0.000826,-0.000074,0.000221
1770947949.173381,0.202539,0.021681,-0.059308,0.112513,-0.000093,-0.000255,0.000551
1770947949.178354,0.207513,-0.015615,-0.128630,0.075700,0.000323,-0.000905,0.000171
1770947949.183331,0.212490,0.002779,-0.032559,0.120183,-0.000344,0.000022,0.000409
1770947949.188308,0.217466,-0.284087,0.140907,0.572406,0.005443,-0.006726,-0.000580
1770947949.193287,0.222445,0.031928,-0.041505,0.151324,-0.000374,-0.000182,0.000875
1770947949.198273,0.227431,0.011970,-0.060708,0.099175,-0.000246,-0.000472,0.000307
1770947949.203246,0.232405,0.013744,-0.123918,0.078823,0.000307,-0.000505,0.000553
1770947949.208226,0.237385,-0.286857,0.002289,0.560621,0.006231,-0.007100,-0.000026
1770947949.213403,0.242561,0.009523,-0.103994,0.079556,0.000423,-0.000587,0.000365
1770947949.218406,0.247564,-0.286934,0.036048,0.548670,0.005964,-0.006962,-0.000187
1770947949.223375,0.252533,0.012976,-0.057713,0.094842,-0.000567,-0.000549,0.000145
1770947949.228339,0.257498,0.036049,-0.172211,0.068171,0.000842,-0.000370,0.000919
1770947949.233324,0.262483,0.016518,-0.157952,0.070138,0.000733,-0.000343,0.000617
1770947949.238074,0.267233,0.031788,-0.096837,0.093204,0.000322,-0.000423,0.000323
1770947949.243079,0.272237,0.012707,-0.125673,0.073451,0.000656,-0.000436,0.000848
1770947949.248050,0.277208,-0.003356,-0.012585,0.141408,-0.000332,-0.000039,0.000166
1770947949.253039,0.282197,-0.008115,-0.107695,0.089901,-0.000045,-0.000581,0.000374
1770947949.258009,0.287168,0.003070,-0.005570,0.136254,-0.000793,-0.000243,0.000438
1770947949.262983,0.292141,0.006659,-0.088104,0.101736,0.000412,-0.000246,0.000530
1770947949.267966,0.297124,0.023094,-0.094914,0.105579,0.000059,-0.000299,0.000715
1770947949.272943,0.302101,0.005278,-0.079395,0.109062,0.000429,-0.000088,0.000547
1770947949.277919,0.307077,0.027873,-0.036471,0.134234,-0.000545,-0.000046,0.000779
1770947949.282899,0.312057,-0.278651,0.052924,0.566006,0.006162,-0.007107,-0.000511
1770947949.287878,0.317036,-0.010093,-0.141174,0.082912,0.000840,-0.000665,0.000234
1770947949.292859,0.322017,-0.001587,-0.079543,0.093387,-0.000321,-0.000825,0.000454
1770947949.297840,0.326998,0.005398,0.001518,0.141200,-0.000561,0.000118,0.000698
1770947949.302814,0.331973,0.038719,-0.064998,0.112634,-0.000536,-0.000442,0.000595
1770947949.307792,0.336950,0.010719,-0.052318,0.108258,-0.000418,0.000011,0.000403
1770947949.312775,0.341934,0.036519,-0.059515,0.133664,-0.000176,-0.000053,0.000822
1770947949.317746,0.346904,0.023567,-0.019544,0.143066,-0.000456,-0.000026,0.000440
1770947949.322724,0.351882,-0.015180,-0.058296,0.097728,-0.000215,-0.000210,0.000360
1770947949.327705,0.356864,-0.019013,-0.098937,0.090671,0.000005,-0.000691,0.000075
1770947949.332683,0.361841,-0.285332,-0.038604,0.541119,0.006613,-0.006826,0.000333
1770947949.337661,0.366819,-0.008461,-0.181370,0.082844,0.001051,-0.000767,0.000809
1770947949.342638,0.371797,0.030107,-0.004953,0.147509,-0.000613,-0.000019,0.000675
1770947949.347619,0.376777,-0.020602,-0.047230,0.119847,0.000026,-0.000119,0.000490
1770947949.352609,0.381767,-0.017513,-0.066279,0.102591,-0.000066,-0.000397,-0.000018
1770947949.357578,0.386736,0.031058,-0.036077,0.116315,-0.000366,-0.000189,0.000595
1770947949.362553,0.391712,0.005256,-0.165634,0.117057,0.000899,-0.000625,0.000835
1770947949.367533,0.396691,-0.024658,-0.013846,0.119473,-0.000272,-0.000066,0.000335
1770947949.372516,0.401675,-0.019936,-0.152852,0.057654,0.000432,-0.000661,0.000257
1770947949.377496,0.406654,0.038098,-0.098563,0.087337,0.000460,-0.000121,0.000623
1770947949.382470,0.411629,-0.004242,-0.105325,0.105961,0.000028,-0.001007,0.000473
1770947949.387448,0.416606,-0.012682,-0.085572,0.095545,0.000271,-0.000346,0.000545
1770947949.392443,0.421601,-0.021540,-0.109291,0.085339,0.000669,-0.000186,0.000287
1770947949.397407,0.426565,-0.017479,-0.037784,0.125822,-0.000513,-0.000328,0.000027
1770947949.402385,0.431543,-0.321537,0.055022,0.615361,0.005322,-0.007748,-0.000405
1770947949.407365,0.436523,0.185635,1.510865,-1.009466,0.003627,0.013806,0.010807
1770947949.412343,0.441502,-0.009899,0.004752,0.120274,-0.000573,0.000117,0.000459
1770947949.417321,0.446480,-0.005212,-0.055936,0.109466,-0.000163,-0.000173,0.000393
1770947949.422300,0.451459,0.023576,-0.050303,0.110347,-0.000372,-0.000326,0.000226
1770947949.427275,0.456433,0.004197,-0.092244,0.093478,0.000241,-0.000441,0.000393
1770947949.432259,0.461418,-0.288686,0.005207,0.515211,0.006168,-0.007181,-0.000212
1770947949.437235,0.466394,-0.019905,-0.071757,0.100757,-0.000094,-0.000749,0.000193
1770947949.442213,0.471371,-0.000334,-0.027208,0.133537,-0.000331,-0.000054,0.000404
1770947949.447193,0.476352,0.012915,-0.081203,0.115154,0.000138,-0.000225,0.000646
1770947949.452176,0.481334,0.045050,-0.028055,0.151627,-0.000358,0.000166,0.001000
1770947949.457180,0.486338,0.026379,-0.040680,0.128683,-0.000652,-0.000299,0.000732
1770947949.462236,0.491395,-0.277916,0.010542,0.549416,0.006593,-0.006745,0.000352
1770947949.467113,0.496271,0.033354,-0.048194,0.107029,0.000089,0.000420,0.000685
1770947949.472088,0.501246,0.033928,-0.095328,0.118227,0.000250,-0.000362,0.000987
1770947949.477067,0.506225,0.035408,-0.073930,0.107921,-0.000066,-0.000373,0.000646
1770947949.482046,0.511204,0.012741,-0.062507,0.117622,-0.000248,-0.000129,0.000577
1770947949.487024,0.516182,0.016411,-0.058737,0.110141,0.000142,0.000075,0.000653
1770947949.492003,0.521162,0.043719,0.028251,0.157965,-0.001261,-0.000005,0.000710
1770947949.496982,0.526141,0.003385,-0.069246,0.092466,-0.000207,-0.000631,0.000222
1770947949.501957,0.531116,-0.018214,-0.116298,0.074723,0.000170,-0.000642,0.000298
1770947949.506936,0.536095,0.029160,0.012044,0.141667,-0.000596,0.000470,0.000779
1770947949.511916,0.541074,-0.276959,-0.079323,0.526819,0.007055,-0.006721,0.000400
1770947949.516896,0.546054,0.038583,-0.048594,0.144184,-0.000112,-0.000106,0.000999
1770947949.521874,0.551032,-0.021919,-0.037966,0.110764,-0.000453,-0.000285,0.000425
1770947949.526858,0.556016,-0.015315,-0.085973,0.114404,0.000220,-0.000262,0.000371
1770947949.531835,0.560994,-0.312723,0.030256,0.550764,0.006185,-0.006808,0.000001
1770947949.536809,0.565968,-0.000898,-0.040024,0.111628,-0.000231,-0.000310,0.000483
1770947949.541789,0.570947,-0.026777,-0.094595,0.073166,0.000436,-0.000572,0.000160
1770947949.546767,0.575925,-0.278480,0.023341,0.546350,0.006511,-0.006659,-0.000093
1770947949.551790,0.580948,-0.001084,-0.143488,0.082901,0.000726,-0.000505,0.000604
1770947949.556731,0.585890,0.037811,-0.082389,0.122921,0.000160,-0.000364,0.000667
1770947949.561711,0.590869,0.024642,-0.054783,0.118782,0.000090,0.000110,0.000563
1770947949.566688,0.595846,0.025127,-0.110715,0.112421,0.000536,-0.000197,0.000746
1770947949.571677,0.600836,0.025049,-0.048793,0.115579,-0.000686,-0.000226,0.000538
1770947949.576682,0.605840,0.038090,-0.082060,0.143941,0.000331,-0.000110,0.000888
1770947949.581620,0.610779,0.026300,-0.081473,0.120087,-0.000050,-0.000455,0.000659
1770947949.586943,0.616101,-0.293591,0.071234,0.568623,0.005937,-0.006774,-0.000328
1770947949.591579,0.620737,0.016466,-0.095022,0.087296,0.000138,-0.000500,0.000392
1770947949.596559,0.625718,-0.019380,-0.078843,0.077876,0.000039,-0.000558,0.000412
1770947949.601853,0.631011,0.035669,-0.053715,0.112479,-0.000041,0.000163,0.000950
1770947949.606518,0.635676,0.038297,-0.033380,0.161292,0.000153,0.000537,0.001070
1770947949.611495,0.640654,0.022850,-0.005485,0.129137,-0.000556,0.000210,0.000714
1770947949.616788,0.645946,0.042774,-0.057524,0.142155,-0.000024,-0.000008,0.000874
1770947949.621457,0.650616,0.002986,-0.121991,0.091630,0.000380,-0.000500,0.000248
1770947949.626730,0.655889,-0.001770,-0.059145,0.087503,-0.000476,-0.000536,0.000349
1770947949.631412,0.660570,-0.040988,-0.148744,0.066391,0.000549,-0.000974,0.000064
1770947949.636420,0.665578,0.005055,-0.111856,0.094793,0.000367,-0.000637,0.000295
1770947949.641673,0.670832,-0.001837,-0.103887,0.114171,0.000403,-0.000571,0.000625
1770947949.646342,0.675500,-0.014712,-0.019558,0.122166,-0.000687,-0.000204,0.000364
1770947949.651323,0.680481,0.003107,-0.122767,0.087636,0.000690,-0.000096,0.000556
1770947949.657019,0.686177,-0.286948,0.075349,0.569530,0.005925,-0.006890,-0.000376
1770947949.661402,0.690560,-0.015615,-0.077142,0.104846,-0.000278,-0.000879,0.000068
1770947949.666934,0.696092,0.011798,-0.046921,0.124556,-0.000115,0.000032,0.000657
1770947949.671467,0.700625,-0.011743,-0.057497,0.092174,-0.000487,-0.000576,0.000223
1770947949.676483,0.705642,0.031604,-0.090218,0.101107,0.000369,0.000139,0.000741
1770947949.681712,0.710871,0.016304,-0.019701,0.141846,-0.000709,-0.000306,0.000370
1770947949.686390,0.715548,0.002227,-0.018015,0.133109,-0.000231,0.000079,0.000528
1770947949.691356,0.720514,-0.013265,-0.112177,0.077209,0.000618,-0.000439,0.000270
