t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1771002183.116167,0.002066,-0.029614,-0.028684,0.030765,0.000104,-0.000626,0.000018
1771002183.121114,0.007014,-0.007671,-0.042917,-0.020786,-0.000208,-0.000523,0.000187
1771002183.126114,0.012013,-0.007367,0.038812,0.082605,-0.000371,-0.000242,0.000481
1771002183.131096,0.016996,-0.005615,0.010579,0.070159,-0.000071,-0.000263,0.000264
1771002183.136077,0.021976,-0.034187,-0.048068,0.061896,0.000402,-0.000528,0.000276
1771002183.141052,0.026952,-0.023204,0.084188,0.113333,-0.000578,0.000106,0.000168
1771002183.146038,0.031938,-0.015044,-0.073638,0.048883,0.000767,-0.000386,0.000504
1771002183.151020,0.036920,-0.005248,-0.042588,0.037315,-0.000011,-0.000661,0.000114
1771002183.155997,0.041897,-0.023515,-0.076350,0.038841,0.000862,-0.000500,0.000210
1771002183.160995,0.046894,-0.017630,0.005319,0.083424,-0.000114,-0.000419,0.000156
1771002183.165965,0.051864,-0.009555,-0.007843,0.086599,0.000169,-0.000398,0.000672
1771002183.170954,0.056853,-0.003092,-0.057964,0.069878,0.000668,-0.000439,0.000499
1771002183.175928,0.061827,-0.001583,-0.004425,0.070043,0.000280,-0.000063,0.000548
1771002183.180906,0.066805,-0.002779,-0.008110,0.075390,0.000031,-0.000386,0.000588
1771002183.185884,0.071784,-0.024564,0.002952,0.075289,-0.000125,-0.000412,0.000165
1771002183.190870,0.076769,-0.011074,0.048095,0.112561,-0.000179,0.000105,0.000479
1771002183.195849,0.081748,-0.019388,-0.017678,0.084390,0.000360,-0.000293,0.000165
1771002183.200872,0.086771,-0.035730,0.087957,0.084243,-0.000532,0.000145,0.000241
1771002183.205907,0.091807,-0.026639,0.045964,0.080263,-0.000309,-0.000216,0.000169
1771002183.210808,0.096708,-0.020541,-0.036392,0.060289,0.000211,-0.000607,0.000170
1771002183.215767,0.101666,-0.004784,0.038392,0.107249,-0.000312,-0.000509,0.000312
1771002183.220779,0.106679,-0.026737,-0.036072,0.057064,0.000247,-0.000484,0.000342
1771002183.225743,0.111643,-0.039342,0.014258,0.095210,-0.000333,-0.000459,0.000212
1771002183.230729,0.116628,-0.019799,-0.050658,0.054741,0.000478,-0.000534,0.000221
1771002183.235706,0.121605,-0.001306,-0.040354,0.072866,0.000643,-0.000061,0.000681
1771002183.240690,0.126589,-0.013567,-0.007122,0.093377,0.000229,-0.000291,0.000514
1771002183.245669,0.131569,-0.025084,-0.016123,0.070527,-0.000124,-0.000713,0.000140
1771002183.251152,0.137052,-0.024451,-0.004374,0.047083,0.000021,-0.000281,0.000100
1771002183.256096,0.141995,0.013699,-0.009842,0.052822,-0.000016,-0.000293,0.000346
1771002183.260623,0.146522,-0.018329,-0.029195,0.046694,0.000057,-0.000599,0.000091
1771002183.265599,0.151499,-0.018195,0.002963,0.088249,0.000318,0.000107,0.000666
1771002183.270561,0.156461,-0.042017,0.036014,0.100657,-0.000039,-0.000299,0.000408
1771002183.275556,0.161456,-0.023835,0.031254,0.077044,-0.000291,-0.000319,0.000300
1771002183.280539,0.166438,0.009142,-0.009109,0.058907,-0.000059,-0.000288,0.000237
1771002183.285520,0.171420,0.003772,-0.038548,0.061987,0.000186,-0.000546,0.000587
1771002183.290519,0.176419,0.014511,0.038203,0.107898,-0.000143,-0.000212,0.000586
1771002183.295483,0.181383,-0.020705,-0.019839,0.046328,-0.000312,-0.000940,0.000023
1771002183.300469,0.186368,-0.020025,-0.038175,0.055358,0.000250,-0.000657,0.000314
1771002183.305448,0.191347,0.015158,0.020248,0.080885,-0.000042,-0.000179,0.000505
1771002183.310430,0.196330,-0.007927,0.024839,0.059433,-0.000294,-0.000290,0.000109
1771002183.315409,0.201308,-0.011514,-0.033304,0.044994,0.000459,-0.000245,0.000401
1771002183.320389,0.206289,-0.015381,0.006967,0.068791,0.000076,0.000163,0.000469
1771002183.325378,0.211277,-0.026437,0.001016,0.064030,0.000135,-0.000117,0.000087
1771002183.330352,0.216252,0.005487,-0.058827,0.017910,0.000079,-0.000720,0.000278
1771002183.335334,0.221234,-0.025589,0.008544,0.050329,-0.000276,-0.000575,0.000051
1771002183.340318,0.226218,-0.019632,0.032900,0.060888,-0.000298,-0.000269,0.000054
1771002183.345298,0.231197,-0.006057,0.040601,0.075248,-0.000191,0.000106,0.000518
1771002183.350278,0.236178,-0.029621,-0.029958,0.035266,0.000039,-0.000614,0.000056
1771002183.355256,0.241156,-0.027133,0.009883,0.053590,-0.000157,-0.000374,0.000201
1771002183.360244,0.246144,-0.023690,-0.015015,0.060011,-0.000063,-0.000385,0.000321
1771002183.365224,0.251123,-0.012261,-0.084913,0.004847,0.000915,-0.000349,0.000229
1771002183.370205,0.256105,0.000046,0.054165,0.108340,-0.000221,-0.000271,0.000556
1771002183.375183,0.261083,-0.024488,-0.038446,0.046415,0.000366,-0.000601,0.000116
1771002183.380163,0.266063,-0.013424,-0.018488,0.042438,-0.000210,-0.000736,0.000123
1771002183.385146,0.271046,0.001980,0.042118,0.077039,-0.000286,-0.000220,0.000557
1771002183.390130,0.276029,-0.009658,0.092500,0.108404,-0.000650,0.000006,0.000441
1771002183.395108,0.281008,-0.001399,-0.011194,0.033798,0.000228,-0.000099,0.000446
1771002183.400092,0.285992,-0.023309,-0.015021,0.042202,-0.000256,-0.000544,-0.000178
1771002183.405072,0.290972,-0.005402,-0.025810,0.027509,-0.000222,-0.000580,0.000049
1771002183.410064,0.295964,-0.015343,-0.045910,0.033072,0.000483,-0.000215,0.000307
1771002183.415033,0.300932,0.015916,-0.023297,0.041382,0.000203,-0.000366,0.000313
1771002183.420022,0.305921,-0.024318,0.002081,0.049013,-0.000192,-0.000608,0.000170
1771002183.424998,0.310898,0.019700,-0.013045,0.052547,0.000164,-0.000288,0.000414
1771002183.429978,0.315877,-0.030171,0.027735,0.056624,-0.000504,-0.000190,0.000031
1771002183.434958,0.320857,-0.021747,-0.050058,0.013313,0.000241,-0.000330,0.000125
1771002183.439943,0.325842,-0.018534,-0.001482,0.074268,-0.000106,-0.000556,0.000153
1771002183.444932,0.330831,-0.006242,-0.010385,0.080404,0.000022,-0.000608,0.000361
1771002183.449912,0.335812,-0.028168,0.012339,0.068157,-0.000327,-0.000724,0.000271
1771002183.454889,0.340788,-0.033875,-0.076027,0.038877,0.000478,-0.000959,0.000215
1771002183.459868,0.345767,0.007876,0.025498,0.106813,0.000181,-0.000088,0.000653
1771002183.464847,0.350746,-0.039000,0.070479,0.105640,-0.000566,-0.000325,0.000014
1771002183.469825,0.355725,-0.024959,-0.011381,0.079337,0.000024,-0.000687,0.000219
1771002183.474813,0.360713,-0.062583,-0.078255,0.036417,0.000567,-0.000930,-0.000087
1771002183.479799,0.365698,-0.012228,-0.033979,0.063909,0.000004,-0.000671,0.000210
1771002183.484784,0.370684,-0.039939,-0.086166,0.035577,0.000746,-0.000729,0.000257
1771002183.489756,0.375655,-0.043685,-0.022527,0.057294,0.000034,-0.000624,0.000300
1771002183.494739,0.380639,-0.014065,-0.012615,0.070461,0.000085,-0.000344,0.000544
1771002183.499717,0.385617,-0.033329,0.040518,0.104183,-0.000527,-0.000337,-0.000150
1771002183.505198,0.391097,-0.049632,-0.077404,0.031943,0.000388,-0.001072,-0.000271
1771002183.509731,0.395631,-0.021980,-0.037652,0.069309,0.000236,-0.000547,0.000541
1771002183.515419,0.401319,-0.013798,-0.001304,0.084543,-0.000001,-0.000469,0.000153
1771002183.519647,0.405546,-0.047365,0.016208,0.071052,-0.000155,-0.000159,0.000173
1771002183.524626,0.410526,-0.019190,0.036408,0.086587,-0.000286,-0.000437,0.000340
1771002183.530092,0.415991,-0.024223,0.003663,0.074769,-0.000508,-0.001000,0.000163
1771002183.534636,0.420535,-0.042176,0.069828,0.135158,-0.000349,-0.000406,0.000374
