t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1771002433.677402,0.002280,0.247854,-0.230758,-0.415800,0.000463,-0.003700,-0.001052
1771002433.682384,0.007263,0.125386,-0.131060,-0.472565,-0.000620,-0.003112,-0.002655
1771002433.687359,0.012237,0.095418,0.041924,-0.238943,-0.002610,-0.002391,-0.001840
1771002433.692345,0.017223,0.200247,0.043649,-0.226086,-0.002546,-0.002576,-0.001491
1771002433.697326,0.022205,0.159988,-0.017415,-0.262932,-0.001851,-0.002308,-0.001167
1771002433.702314,0.027192,0.116088,-0.039938,-0.257957,-0.002044,-0.002603,-0.001611
1771002433.707293,0.032172,0.123332,-0.008152,-0.241344,-0.002542,-0.002539,-0.001697
1771002433.712272,0.037151,0.176732,-0.112325,-0.336412,-0.001491,-0.002584,-0.001715
1771002433.717257,0.042136,0.194172,-0.015119,-0.288402,-0.001707,-0.002232,-0.001270
1771002433.722235,0.047114,0.187268,-0.122361,-0.362210,-0.001014,-0.002924,-0.001621
1771002433.727213,0.052092,0.142388,-0.075450,-0.282113,-0.001147,-0.002415,-0.001439
1771002433.732198,0.057077,0.209712,0.015047,-0.249124,-0.001936,-0.002620,-0.001091
1771002433.737181,0.062060,0.126900,-0.045430,-0.253879,-0.001844,-0.002419,-0.001523
1771002433.742158,0.067037,0.188101,-0.041491,-0.264403,-0.001818,-0.002686,-0.001268
1771002433.747151,0.072030,0.148927,-0.054660,-0.256805,-0.001723,-0.002122,-0.001781
1771002433.752122,0.077001,0.117455,-0.064910,-0.321832,-0.001337,-0.002955,-0.001779
1771002433.757108,0.081987,0.103263,-0.086756,-0.281825,-0.002074,-0.002756,-0.001910
1771002433.762091,0.086969,0.123757,-0.040639,-0.274413,-0.001520,-0.002968,-0.002001
1771002433.767075,0.091954,0.152780,0.060660,-0.223393,-0.002486,-0.002298,-0.001798
1771002433.772055,0.096934,0.157959,-0.093768,-0.304448,-0.001359,-0.003009,-0.001300
1771002433.777034,0.101913,0.146030,-0.014186,-0.250462,-0.002238,-0.002676,-0.001719
1771002433.782017,0.106896,0.182838,0.100766,-0.194378,-0.002909,-0.002570,-0.001641
1771002433.786996,0.111875,0.198039,-0.087808,-0.334384,-0.001510,-0.002564,-0.001361
1771002433.791980,0.116858,0.212715,-0.038967,-0.421690,-0.002485,-0.002781,-0.002317
1771002433.796958,0.121837,0.192644,-0.048918,-0.306841,-0.001567,-0.002618,-0.001514
1771002433.801938,0.126817,0.167388,-0.031555,-0.317513,-0.001551,-0.002862,-0.001419
1771002433.806936,0.131815,0.152863,0.005245,-0.324205,-0.002385,-0.002694,-0.002028
1771002433.811909,0.136788,0.162153,0.024099,-0.271811,-0.002356,-0.002682,-0.001550
1771002433.816898,0.141777,0.135954,0.024264,-0.289827,-0.002092,-0.002650,-0.001705
1771002433.821865,0.146744,0.122874,-0.060299,-0.323742,-0.001626,-0.002637,-0.002134
1771002433.826850,0.151729,-1.919497,3.104964,1.698074,-0.012191,-0.000314,-0.007069
1771002433.831842,0.156721,-1.254447,-0.504353,1.335255,0.008999,0.011870,0.007972
1771002433.836814,0.161693,-1.212813,-0.531950,1.347058,0.008947,0.011347,0.007429
1771002433.841800,0.166679,-1.215133,-0.545193,1.320442,0.009213,0.012014,0.008047
1771002433.846776,0.171655,-1.209888,-0.498473,1.367883,0.008872,0.012107,0.007766
1771002433.851770,0.176648,-1.179593,-0.464628,1.338926,0.008701,0.013286,0.008387
1771002433.856753,0.181632,0.169867,-0.300374,1.756812,0.016222,0.012797,0.013661
1771002433.861721,0.186600,-1.219383,-0.474456,1.361019,0.008092,0.011948,0.008028
1771002433.866705,0.191584,-1.242588,-0.458770,1.336929,0.008298,0.011902,0.007706
1771002433.871689,0.196568,-1.212744,-0.527525,1.319494,0.009070,0.012231,0.008425
