t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1771002499.904806,0.002315,0.596529,0.024297,-0.829071,-0.003616,-0.001137,-0.002037
1771002499.909784,0.007293,0.728787,0.125531,-0.799835,-0.003402,0.000025,-0.002330
1771002499.914755,0.012264,0.714250,-0.024137,-0.773055,-0.002564,-0.000769,-0.002308
1771002499.919751,0.017260,0.720618,-0.082978,-0.813725,-0.002151,-0.000485,-0.002436
1771002499.924729,0.022238,0.758585,0.189343,-0.627678,-0.004300,-0.000215,-0.001678
1771002499.929714,0.027223,0.732370,-0.011555,-0.723590,-0.002916,-0.000391,-0.001997
1771002499.934692,0.032201,0.699694,0.092912,-0.694668,-0.003631,-0.000129,-0.002551
1771002499.939679,0.037188,0.697932,-0.019976,-0.743334,-0.002851,-0.000725,-0.002518
1771002499.944660,0.042168,0.712888,0.015947,-0.739243,-0.002987,-0.000932,-0.002328
1771002499.949639,0.047147,0.755424,0.140778,-0.732912,-0.004399,-0.000801,-0.002305
1771002499.954629,0.052138,0.758765,-0.019472,-0.811147,-0.002462,0.000188,-0.001918
1771002499.959603,0.057111,0.747938,0.097990,-0.708663,-0.003422,-0.000039,-0.002259
1771002499.964588,0.062097,0.762516,0.128685,-0.745640,-0.003403,-0.000325,-0.002243
1771002499.969573,0.067081,0.695401,-0.103958,-0.789165,-0.002389,-0.000742,-0.002552
1771002499.974542,0.072051,0.803510,0.364808,-0.912992,-0.004240,0.001461,-0.001012
1771002499.979532,0.077041,0.665235,0.014810,-0.676869,-0.003393,-0.001154,-0.002977
1771002499.984520,0.082028,0.711433,-0.097671,-0.766181,-0.001979,-0.000565,-0.002152
1771002499.989503,0.087012,0.746351,0.012767,-0.712369,-0.003190,-0.000788,-0.002193
1771002499.994512,0.092021,0.683702,-0.014735,-0.676850,-0.002877,-0.000862,-0.002421
1771002499.999462,0.096971,0.667224,-0.100123,-0.712376,-0.002140,-0.000895,-0.002406
1771002500.004451,0.101959,0.654854,0.040548,-0.656990,-0.003673,-0.000961,-0.002794
1771002500.009435,0.106944,0.707001,0.008877,-0.715714,-0.003353,-0.000906,-0.002316
1771002500.014423,0.111932,0.732505,-0.107881,-0.784603,-0.002575,-0.000734,-0.002233
1771002500.019409,0.116918,0.739820,0.122151,-0.799430,-0.003724,-0.000791,-0.002322
1771002500.024396,0.121904,0.780837,0.126400,-0.737327,-0.003718,-0.000181,-0.002094
1771002500.029382,0.126891,0.713417,0.091636,-0.714463,-0.003735,-0.000430,-0.002196
1771002500.034372,0.131880,0.714634,0.011249,-0.741103,-0.002960,-0.000941,-0.002740
1771002500.039357,0.136865,0.736997,0.026906,-0.731595,-0.003124,-0.000705,-0.002226
1771002500.044345,0.141853,0.748331,0.097114,-0.702579,-0.003154,0.000116,-0.001701
1771002500.049324,0.146833,0.701132,-0.107770,-0.776081,-0.002180,-0.001139,-0.002276
1771002500.054318,0.151827,0.684693,-0.006812,-0.689148,-0.003064,-0.000720,-0.002607
1771002500.059306,0.156814,0.745660,0.101908,-0.697514,-0.003687,-0.000531,-0.002279
1771002500.064296,0.161805,0.666547,0.029403,-0.654950,-0.003387,-0.000730,-0.002437
1771002500.069274,0.166783,0.689125,0.072394,-0.694025,-0.004293,-0.001288,-0.002624
1771002500.074252,0.171761,0.738231,0.075826,-0.729573,-0.003376,-0.000529,-0.002475
1771002500.079245,0.176754,0.752860,0.017893,-0.807224,-0.003111,-0.000402,-0.002471
1771002500.084238,0.181746,0.716131,0.064931,-0.707181,-0.003566,-0.000841,-0.002382
1771002500.089220,0.186729,0.732785,-0.075672,-0.846156,-0.002631,-0.000650,-0.002304
1771002500.094209,0.191718,0.691388,0.043820,-0.699764,-0.003415,-0.000667,-0.002832
1771002500.099200,0.196708,0.651611,0.072590,-0.704407,-0.003179,-0.001172,-0.002537
