t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1771001680.136101,0.002262,0.035211,-0.765597,1.621725,0.023062,0.015889,0.013992
1771001680.141082,0.007243,0.083439,-0.107225,-0.319227,-0.000112,-0.001956,0.001097
1771001680.146063,0.012223,0.052976,-0.079636,-0.253614,-0.000355,-0.001860,0.000260
1771001680.151042,0.017203,-0.035355,0.238266,-0.061785,-0.003496,-0.001056,-0.000202
1771001680.156035,0.022196,-0.052281,0.137540,-0.101275,-0.003072,-0.001140,-0.000608
1771001680.161011,0.027172,-0.032839,0.094003,-0.140545,-0.002808,-0.001270,-0.000480
1771001680.166013,0.032174,-0.054583,0.175140,-0.105165,-0.003085,-0.001549,-0.000785
1771001680.170954,0.037114,-0.082116,0.154619,-0.131256,-0.003017,-0.001289,-0.000539
1771001680.175954,0.042115,-0.035199,0.079464,-0.142455,-0.002732,-0.001345,-0.000657
1771001680.180939,0.047100,0.045124,-0.131350,1.866691,0.015487,0.013598,0.012300
1771001680.185916,0.052076,0.054527,-1.098862,1.470576,0.026983,0.017270,0.014769
1771001680.191252,0.057413,-0.587309,-1.738684,1.171270,0.023623,-0.004177,0.001886
1771001680.196240,0.062401,0.075614,-1.046461,1.502589,0.026486,0.017690,0.014831
1771001680.201230,0.067390,0.098465,-0.929904,1.556555,0.024974,0.018261,0.015439
1771001680.206198,0.072359,-0.577589,-1.653738,1.227429,0.022700,-0.003749,0.002296
1771001680.211188,0.077348,-0.605048,-1.826266,1.160875,0.024520,-0.004197,0.001370
1771001680.216217,0.082378,0.051827,-1.104841,1.535359,0.026909,0.016926,0.014913
1771001680.221137,0.087297,0.105829,-0.894204,1.590097,0.024733,0.017994,0.015503
1771001680.226151,0.092312,0.064870,-0.912932,1.581864,0.024878,0.018013,0.015542
1771001680.231144,0.097305,-0.581103,-1.768500,1.199112,0.024079,-0.003717,0.001884
1771001680.235953,0.102113,0.083410,-1.024091,1.517162,0.026100,0.017842,0.015649
1771001680.241110,0.107270,-0.612937,-1.873050,1.160954,0.025003,-0.004314,0.002033
1771001680.246080,0.112241,0.033236,-1.042196,1.518256,0.026266,0.018045,0.014940
1771001680.251065,0.117225,0.025579,-1.045569,1.533700,0.026209,0.017176,0.015045
1771001680.255873,0.122033,-1.727263,-2.079655,0.931082,0.020047,-0.002258,-0.002313
1771001680.261030,0.127190,-0.582289,-1.749069,1.193791,0.023958,-0.004223,0.001854
1771001680.266014,0.132174,0.079391,-0.966773,1.559392,0.025387,0.017567,0.015310
1771001680.270989,0.137150,0.057586,-1.009424,1.554459,0.025870,0.017667,0.015295
1771001680.275876,0.142037,0.051206,-1.006183,1.559547,0.025720,0.017636,0.015271
1771001680.281032,0.147192,0.051769,-1.027830,1.541529,0.026092,0.017347,0.014447
1771001680.285942,0.152103,-0.573845,-1.798013,1.222119,0.024419,-0.003964,0.002070
1771001680.290940,0.157100,-0.571319,-1.690513,1.194840,0.023279,-0.003812,0.002125
1771001680.295876,0.162037,-0.559287,-1.712982,1.218730,0.023726,-0.003724,0.002305
1771001680.300890,0.167051,-0.583590,-1.723555,1.216794,0.023679,-0.003871,0.001672
1771001680.305889,0.172050,0.018416,-1.117031,1.517376,0.026588,0.016644,0.014595
1771001680.310829,0.176990,-0.608123,-1.852389,1.160336,0.025079,-0.004383,0.001508
1771001680.315907,0.182067,-0.613231,-1.754697,1.172781,0.023937,-0.003741,0.001435
1771001680.320796,0.186957,-0.608275,-1.769245,1.196209,0.023985,-0.004083,0.001682
1771001680.325890,0.192051,-0.548247,-1.680266,1.212195,0.023269,-0.003510,0.001832
1771001680.330748,0.196908,0.071665,-0.991149,1.536883,0.025919,0.017806,0.015102
1771001680.335820,0.201981,-0.630245,-1.868572,1.161119,0.025115,-0.004346,0.001081
1771001680.340790,0.206951,-0.598271,-1.734357,1.214037,0.023547,-0.004182,0.001943
1771001680.345893,0.212054,0.104856,-0.948072,1.557044,0.025316,0.017737,0.015296
1771001680.350681,0.216841,-0.557675,-1.723416,1.216954,0.023714,-0.003909,0.001993
1771001680.355665,0.221825,-0.574342,-1.733435,1.215415,0.023926,-0.003927,0.001684
1771001680.360653,0.226814,0.063079,-1.066886,1.520497,0.026316,0.016833,0.014882
1771001680.365291,0.231452,0.070116,-1.079205,1.538249,0.026539,0.017342,0.015093
1771001680.370624,0.236785,0.932801,-0.470754,0.704309,0.011081,0.024926,0.014534
1771001680.375595,0.241755,-0.577070,-1.716682,1.226590,0.023656,-0.004168,0.001826
1771001680.380598,0.246758,-0.547485,-1.724602,1.210569,0.023720,-0.004042,0.002325
1771001680.385237,0.251398,0.085602,-0.991348,1.545477,0.025843,0.017636,0.014924
1771001680.390568,0.256729,0.110566,-0.956511,1.557421,0.025473,0.017790,0.015104
1771001680.395538,0.261698,-0.563090,-1.754141,1.184298,0.024079,-0.003766,0.001711
1771001680.400511,0.266672,0.088874,-0.971337,1.527592,0.025624,0.018065,0.015223
1771001680.405135,0.271296,-0.536577,-1.697018,1.201630,0.023584,-0.003354,0.001460
1771001680.410536,0.276697,-0.558347,-1.654601,1.209055,0.022903,-0.003776,0.002286
1771001680.415665,0.281826,-0.534593,-1.548121,1.273871,0.022261,-0.003423,0.002156
1771001680.420110,0.286270,-0.522575,-1.626326,1.250452,0.022981,-0.003475,0.002300
1771001680.425060,0.291221,0.054421,-1.032863,1.518410,0.026172,0.017590,0.014792
1771001680.430049,0.296210,0.048372,-1.014807,1.547131,0.025706,0.017263,0.014772
1771001680.435039,0.301200,-0.589359,-1.843200,1.158922,0.024956,-0.003982,0.002131
1771001680.440019,0.306180,0.101849,-0.913040,1.559623,0.024728,0.017295,0.015330
1771001680.445005,0.311166,0.119835,-0.955852,1.524207,0.025717,0.018532,0.015510
1771001680.449981,0.316142,-0.560033,-1.691365,1.226723,0.023105,-0.003651,0.001548
1771001680.455463,0.321624,-0.603821,-1.746902,1.179609,0.023853,-0.003944,0.001233
1771001680.459947,0.326108,-0.585710,-1.729099,1.205997,0.023594,-0.003972,0.001278
1771001680.464927,0.331088,-0.612907,-1.871830,1.182740,0.025023,-0.004431,0.001754
1771001680.470680,0.336840,0.054091,-0.952256,1.577462,0.024961,0.018060,0.015051
1771001680.474895,0.341055,0.060573,-0.962932,1.561096,0.025260,0.017502,0.015166
1771001680.479874,0.346035,-0.617360,-1.754378,1.175370,0.023909,-0.004197,0.001381
1771001680.484850,0.351011,-0.601869,-1.687837,1.243116,0.023396,-0.003807,0.001711
1771001680.489829,0.355990,-0.540390,-1.590873,1.252020,0.022642,-0.003548,0.001821
1771001680.494822,0.360983,0.055677,-0.972640,1.581057,0.025373,0.017574,0.015442
1771001680.499796,0.365957,0.115262,-0.964687,1.551835,0.025492,0.018075,0.015579
1771001680.504850,0.371011,0.114922,-0.993394,1.550496,0.025788,0.017934,0.015691
1771001680.509778,0.375939,-0.585605,-1.766505,1.209069,0.024151,-0.004553,0.001756
1771001680.514753,0.380913,0.124871,-0.969729,1.539587,0.025523,0.018363,0.015532
1771001680.519737,0.385897,0.078688,-0.977523,1.562826,0.025386,0.018178,0.015290
1771001680.524708,0.390869,0.094228,-1.006633,1.517433,0.025752,0.017963,0.015579
1771001680.529696,0.395856,-0.619412,-1.712693,1.228449,0.023442,-0.003988,0.001804
1771001680.534688,0.400848,-0.571088,-1.677829,1.229076,0.023252,-0.003789,0.001408
1771001680.539658,0.405818,-0.565086,-1.684329,1.208510,0.023104,-0.003800,0.001939
1771001680.544650,0.410811,0.062602,-1.048489,1.499841,0.026186,0.017490,0.015633
1771001680.549631,0.415792,0.053517,-1.003319,1.575443,0.025813,0.017614,0.015221
1771001680.554588,0.420748,0.066849,-0.995176,1.558841,0.025798,0.017728,0.015042
1771001680.559588,0.425749,0.053111,-1.049624,1.535590,0.026065,0.016782,0.014895
1771001680.564565,0.430726,0.062955,-1.028052,1.553695,0.026222,0.017469,0.014633
1771001680.569549,0.435710,-0.565800,-1.749716,1.219622,0.023896,-0.003748,0.002345
1771001680.574538,0.440698,0.070161,-0.947771,1.553675,0.025442,0.018174,0.015129
1771001680.579525,0.445686,0.112662,-0.955982,1.564817,0.025367,0.017603,0.016173
1771001680.584507,0.450668,0.133654,-0.927133,1.579118,0.025080,0.018606,0.015568
1771001680.589479,0.455640,0.098237,-1.020914,1.526196,0.026212,0.017607,0.015498
1771001680.594479,0.460639,0.038280,-1.028124,1.534016,0.025847,0.017066,0.014695
1771001680.599444,0.465605,-0.602454,-1.811913,1.160425,0.024599,-0.004312,0.001410
1771001680.604430,0.470590,0.054951,-1.035157,1.531306,0.025871,0.017354,0.015441
1771001680.609407,0.475568,0.113541,-0.971098,1.544427,0.025846,0.018344,0.014977
1771001680.614390,0.480551,0.076283,-0.985901,1.557529,0.025664,0.017990,0.015454
1771001680.619383,0.485543,0.056188,-1.014798,1.531614,0.025834,0.017402,0.014964
1771001680.624355,0.490515,0.051703,-0.996929,1.510835,0.025530,0.017722,0.014921
1771001680.629338,0.495499,-0.556835,-1.750575,1.199718,0.023993,-0.004045,0.001977
1771001680.634322,0.500483,0.085065,-0.951659,1.533752,0.025275,0.018255,0.015096
1771001680.639298,0.505459,0.124798,-0.908165,1.570640,0.024793,0.018707,0.015363
1771001680.644284,0.510445,0.028675,-0.237351,1.763481,0.015743,0.016365,0.016425
1771001680.649276,0.515437,0.105008,-0.978743,1.514084,0.025510,0.017756,0.015001
1771001680.654255,0.520415,-0.515883,-1.596130,1.256640,0.022433,-0.003517,0.002467
1771001680.659237,0.525398,-0.580575,-1.748472,1.205953,0.023835,-0.004389,0.001884
1771001680.664203,0.530364,-0.583123,-1.683861,1.222780,0.023307,-0.003732,0.001871
1771001680.669191,0.535352,-0.592458,-1.727083,1.207318,0.023388,-0.004222,0.002078
1771001680.674178,0.540339,0.069588,-0.965664,1.593047,0.025470,0.017342,0.015230
1771001680.679158,0.545319,-1.581896,-1.749842,0.793978,0.017211,-0.005798,0.002002
1771001680.684139,0.550300,-0.573757,-1.722114,1.206292,0.023634,-0.004134,0.001678
1771001680.689127,0.555287,-0.543830,-1.636022,1.222541,0.022701,-0.003590,0.002345
1771001680.694109,0.560270,0.115758,-0.905587,1.565971,0.025108,0.018473,0.015839
1771001680.699157,0.565318,-0.613464,-1.738828,1.204955,0.023853,-0.003769,0.001386
1771001680.704067,0.570227,0.078830,-0.985568,1.545652,0.025855,0.018285,0.015394
1771001680.709059,0.575220,-0.632780,-1.752972,1.165285,0.023916,-0.003777,0.000982
1771001680.714041,0.580202,0.095331,-0.946917,1.560206,0.025120,0.017651,0.015532
1771001680.719017,0.585177,-0.521342,-1.700395,1.208162,0.023492,-0.003608,0.001378
1771001680.724010,0.590170,0.057612,-1.062248,1.532065,0.026309,0.017079,0.014963
1771001680.728975,0.595135,-0.622889,-1.800674,1.179971,0.024179,-0.004598,0.001515
1771001680.733963,0.600123,0.095217,-1.023456,1.541926,0.026139,0.017319,0.015043
1771001680.738952,0.605112,0.108668,-0.926553,1.567728,0.024904,0.018157,0.014896
1771001680.743930,0.610090,-0.807606,0.293777,0.389649,-0.000075,-0.005140,-0.005132
1771001680.748905,0.615065,-0.048476,0.150728,-0.107715,-0.003136,-0.001051,-0.000500
1771001680.753931,0.620091,-0.009796,0.152101,-0.109919,-0.003143,-0.001324,-0.000076
1771001680.758900,0.625061,-0.035786,0.176209,-0.101728,-0.003113,-0.001139,-0.000283
1771001680.764385,0.630546,-2.559154,1.183650,0.362938,-0.011421,-0.013695,-0.010477
1771001680.768872,0.635033,0.073721,-0.987119,1.546115,0.025646,0.017951,0.015235
1771001680.774324,0.640485,0.041839,-1.018388,1.502769,0.025999,0.017550,0.014816
1771001680.778811,0.644972,-0.566846,-1.711046,1.197087,0.023684,-0.003345,0.001485
1771001680.783794,0.649955,-0.568036,-1.771410,1.164279,0.024275,-0.003749,0.001699
1771001680.788766,0.654927,0.058332,-1.010485,1.516076,0.025621,0.017627,0.015064
1771001680.793746,0.659907,-0.567308,-1.729171,1.187688,0.023574,-0.003987,0.001217
1771001680.798740,0.664901,0.076913,-1.002039,1.493112,0.025681,0.016941,0.014706
1771001680.803712,0.669873,-0.591533,-1.862686,1.151314,0.025238,-0.004113,0.001714
1771001680.808690,0.674850,-0.559785,-1.692543,1.237787,0.023506,-0.003554,0.001873
1771001680.813687,0.679848,0.059614,-1.012959,1.543208,0.025674,0.017098,0.014833
1771001680.818666,0.684827,-0.564911,-1.679863,1.225259,0.023133,-0.003623,0.001691
1771001680.823640,0.689801,-0.563617,-1.749452,1.202786,0.023997,-0.004002,0.001847
1771001680.828618,0.694779,-0.592466,-1.705140,1.224335,0.023398,-0.004188,0.001691
1771001680.833605,0.699766,-0.571483,-1.748748,1.202534,0.024015,-0.003662,0.001931
1771001680.838569,0.704729,0.095769,-1.025881,1.473267,0.026383,0.017852,0.014693
1771001680.843576,0.709737,0.102463,-0.911878,1.573828,0.025124,0.018255,0.015033
1771001680.848560,0.714721,-0.559613,-1.686085,1.206736,0.023392,-0.003930,0.001897
1771001680.853532,0.719693,0.009403,-1.021604,1.520996,0.025525,0.016725,0.014587
1771001680.858533,0.724694,0.106799,-0.869154,1.551111,0.024485,0.018362,0.015523
1771001680.863495,0.729656,-0.626223,-1.733531,1.171790,0.023605,-0.003895,0.001431
1771001680.868475,0.734636,0.079367,-0.998575,1.517627,0.025952,0.017763,0.014915
1771001680.873469,0.739629,-0.582176,-1.659546,1.189359,0.023117,-0.003011,0.001597
1771001680.878442,0.744603,-0.570778,-1.712367,1.200858,0.023630,-0.003817,0.001894
1771001680.883424,0.749584,-0.569895,-1.718077,1.177412,0.023490,-0.003943,0.001641
1771001680.888418,0.754578,0.053054,-1.021877,1.514720,0.025897,0.017292,0.015459
1771001680.893388,0.759549,0.097491,-1.034684,1.523262,0.026506,0.018091,0.015182
1771001680.898367,0.764528,-0.569106,-1.692235,1.185975,0.023171,-0.003904,0.001513
1771001680.903351,0.769511,0.069184,-0.981291,1.533322,0.025564,0.017726,0.015081
1771001680.908329,0.774489,0.031622,-1.060829,1.507751,0.026576,0.017137,0.014743
1771001680.913307,0.779468,-0.596069,-1.738513,1.179789,0.023837,-0.003919,0.001562
